NAME_a,NAME_b,F0,ZZ,XX,YY,DISC_DATE,R_LUM,R_LUM14
J0002+6216,cwp+17 ,8.6682478274,1,cwp+17 ,-0.00,0.00,8.50,2017,,
J0006+1834,cnt96 ,1.4414462816,3,cn95 ,-0.59,0.60,8.70,1996,0.15,
J0007+7303,aaa+09c ,3.165827392,3,awd+12 ,0.25,1.20,9.18,2009,,
J0011+08,dsm+16 ,0.391716,0,dsm+16 ,-4.34,3.09,9.40,2016,,
B0011+47,dth78 ,0.805997239145,7,hlk+04 ,-0.45,1.54,9.27,1978,44.36,9.51
J0023+0923,hrm+11 ,327.8470205906107,7,abb+18 ,-0.89,0.62,8.74,2011,2.47,0.59
J0024-7201Z, ,219.5656060346,1,frk+17 ,-1.81,-1.47,7.44,2000,,
J0024-7204aa,phl+16 ,543.478261,0,phl+16 ,-1.90,-1.54,7.38,2016,,
J0024-7204ab,phl+16 ,269.93179806134,4,frk+17 ,-1.79,-1.46,7.45,2016,,
B0021-72C,mld+90 ,173.708218965958,4,frk+17 ,-3.31,-2.69,6.55,1990,33.65,13.20
B0021-72D,mlr+91 ,186.651669856731,3,frk+17 ,-3.31,-2.69,6.55,1991,20.90,
B0021-72E,mlr+91 ,282.779107035000,3,frk+17 ,-3.31,-2.69,6.55,1991,,
B0021-72F,mlr+91 ,381.158663656311,5,frk+17 ,-3.31,-2.69,6.55,1991,,
B0021-72G,rlm+95 ,247.501525096385,8,frk+17 ,-3.31,-2.69,6.55,1995,,
B0021-72H,mlr+91 ,311.49341784423,1,frk+17 ,-3.31,-2.69,6.55,1991,,
B0021-72I,mlr+91 ,286.94469953049,1,frk+17 ,-3.31,-2.69,6.55,1991,,
B0021-72J,mlr+91 ,476.04685844061,1,frk+17 ,-3.31,-2.69,6.55,1991,,
B0021-72L,rlm+95 ,230.08774629142,2,frk+17 ,-3.31,-2.69,6.55,1995,,
B0021-72M,mlr+91 ,271.98722878874,2,frk+17 ,-3.31,-2.69,6.55,1991,,
B0021-72N,rlm+95 ,327.44431861739,1,frk+17 ,-3.31,-2.69,6.55,1995,,
J0024-7204O,clf+00 ,378.308788360098,6,frk+17 ,-3.31,-2.69,6.55,2000,,
J0024-7204P,clf+00 ,274.49748,2,rft+16 ,-3.31,-2.69,6.55,2000,,
J0024-7204Q,clf+00 ,247.943237418920,9,frk+17 ,-3.31,-2.69,6.55,2000,,
J0024-7204R,clf+00 ,287.31811946930,1,frk+17 ,-3.31,-2.69,6.55,2000,,
J0024-7204S,clf+00 ,353.306209385356,9,frk+17 ,-3.31,-2.69,6.55,2000,,
J0024-7204T,clf+00 ,131.77869947406,2,frk+17 ,-3.31,-2.69,6.55,2000,,
J0024-7204U,clf+00 ,230.264772211776,6,frk+17 ,-3.31,-2.69,6.55,2000,,
J0024-7204V,clf+00 ,207.892963,3,rft+16 ,-3.31,-2.69,6.55,2000,,
J0024-7204W,clf+00 ,425.10779625320,5,rft+16 ,-3.31,-2.69,6.55,2000,,
J0024-7204X,fre08 ,209.576694635350,2,rft+16 ,-3.31,-2.69,6.55,2008,,
J0024-7204Y,frk+17 ,455.23717843241,1,frk+17 ,-3.31,-2.69,6.55,2017,,
J0024-7204Z,fre08 ,219.587176,0,fre08 ,-3.31,-2.69,6.55,2008,,
J0026+6320,jml+09 ,3.141120512829,10,jml+09 ,0.07,5.55,11.73,2009,,41.22
