Name_0,Name_1,PSRJ_0,PSRJ_1,ZZ,XX,YY,DISC_DATE,
J0002+6216,cwp+17,J0002+6216,cwp+17,-0.00,0.00,8.50,2017,
J0006+1834,cnt96,J0006+1834,cnt96,-0.59,0.60,8.70,1996,
J0007+7303,aaa+09c,J0007+7303,aaa+09c,0.25,1.20,9.18,2009,
J0011+08,dsm+16,J0011+08,dsm+16,-4.34,3.09,9.40,2016,
B0011+47,dth78,J0014+4746,dth78,-0.45,1.54,9.27,1978,
J0023+0923,hrm+11,J0023+0923,hrm+11,-0.89,0.62,8.74,2011,
J0024-7204aa,phl+16,J0024-7204aa,phl+16,-1.90,-1.54,7.38,2016,
J0024-7204ab,phl+16,J0024-7204ab,phl+16,-1.79,-1.46,7.45,2016,
B0021-72C,mld+90,J0024-7204C,mld+90,-3.31,-2.69,6.55,1990,
B0021-72D,mlr+91,J0024-7204D,mlr+91,-3.31,-2.69,6.55,1991,
B0021-72E,mlr+91,J0024-7204E,mlr+91,-3.31,-2.69,6.55,1991,
B0021-72F,mlr+91,J0024-7204F,mlr+91,-3.31,-2.69,6.55,1991,
B0021-72G,rlm+95,J0024-7204G,rlm+95,-3.31,-2.69,6.55,1995,
B0021-72H,mlr+91,J0024-7204H,mlr+91,-3.31,-2.69,6.55,1991,
B0021-72I,mlr+91,J0024-7204I,mlr+91,-3.31,-2.69,6.55,1991,
B0021-72J,mlr+91,J0024-7204J,mlr+91,-3.31,-2.69,6.55,1991,
B0021-72L,rlm+95,J0024-7204L,rlm+95,-3.31,-2.69,6.55,1995,
B0021-72M,mlr+91,J0024-7204M,mlr+91,-3.31,-2.69,6.55,1991,
B0021-72N,rlm+95,J0024-7204N,rlm+95,-3.31,-2.69,6.55,1995,
J0024-7204O,clf+00,J0024-7204O,clf+00,-3.31,-2.69,6.55,2000,
J0024-7204P,clf+00,J0024-7204P,clf+00,-3.31,-2.69,6.55,2000,
J0024-7204Q,clf+00,J0024-7204Q,clf+00,-3.31,-2.69,6.55,2000,
J0024-7204R,clf+00,J0024-7204R,clf+00,-3.31,-2.69,6.55,2000,
J0024-7204S,clf+00,J0024-7204S,clf+00,-3.31,-2.69,6.55,2000,
J0024-7204T,clf+00,J0024-7204T,clf+00,-3.31,-2.69,6.55,2000,
J0024-7204U,clf+00,J0024-7204U,clf+00,-3.31,-2.69,6.55,2000,
J0024-7204V,clf+00,J0024-7204V,clf+00,-3.31,-2.69,6.55,2000,
J0024-7204W,clf+00,J0024-7204W,clf+00,-3.31,-2.69,6.55,2000,
J0024-7204X,fre08,J0024-7204X,fre08,-3.31,-2.69,6.55,2008,
J0024-7204Y,frk+17,J0024-7204Y,frk+17,-3.31,-2.69,6.55,2017,
J0024-7204Z,fre08,J0024-7204Z,fre08,-3.31,-2.69,6.55,2008,
J0026+6320,jml+09,J0026+6320,jml+09,0.07,5.55,11.73,2009,
J0030+0451,lzb+00,J0030+0451,lzb+00,-0.27,0.16,8.57,2000,
J0033+57,hrk+08,J0033+57,hrk+08,-0.23,1.93,9.63,2008,
J0033+61,hrk+08,J0033+61,hrk+08,-0.05,1.41,9.34,2008,
J0034-0534,bhl+94,J0034-0534,bhl+94,-1.25,0.47,8.68,1994,
B0031-07,lvw69a,J0034-0721,lvw69a,-0.97,0.33,8.62,1969,
J0034+69,slr+14,J0034+69,slr+14,0.27,1.93,9.68,2014,
